Data,Categoria,Moeda,Quantidade,Saldo
2020-10-02 11:55:13,Criação de ordem,BRL,-1765.89949800,0.00855582
2020-10-02 11:54:44,Cancelamento de ordem,BRL,1765.90712830,1765.90805382
2020-10-02 11:50:32,Execução de ordem,BTC,0.03396401,0.13756721
2020-10-02 11:47:56,Criação de ordem,BRL,-3799.99993030,0.00092552
2020-10-02 11:47:32,Cancelamento de ordem,BRL,3799.99992300,3800.00085582
2020-10-02 11:37:13,Criação de ordem,BRL,-3799.99992300,0.00093282
2020-10-02 08:28:42,Depósito,BRL,3800.00000000,3800.00085582
2020-10-01 19:00:06,Execução de ordem,BTC,0.00374454,0.10360320
2020-10-01 18:57:49,Execução de ordem,BTC,0.00186878,0.09985866
2020-10-01 18:57:15,Execução de ordem,BTC,0.02563407,0.09798988
2020-10-01 18:55:34,Execução de ordem,BTC,0.01846888,0.07235581
2020-10-01 18:52:43,Execução de ordem,BTC,0.00306552,0.05388693
2020-10-01 18:52:21,Criação de ordem,BRL,-3208.19975400,0.00085582
2020-10-01 18:52:07,Cancelamento de ordem,BRL,3208.19865360,3208.20060982
2020-10-01 18:29:28,Execução de ordem,BTC,0.03489486,0.05082141
2020-10-01 18:24:44,Criação de ordem,BRL,-5324.28958460,0.00195622
2020-10-01 18:24:18,Cancelamento de ordem,BRL,5324.28959600,5324.29154082
2020-10-01 17:35:51,Criação de ordem,BRL,-5324.28959600,0.00194482
2020-10-01 17:33:04,Cancelamento de ordem,BRL,5324.28508712,5324.29154082
2020-10-01 17:19:27,Execução de ordem,BTC,0.01592655,0.01592655
2020-10-01 17:14:18,Criação de ordem,BRL,-6288.45984704,0.00645370
2020-09-28 16:41:22,Execução de ordem,BRL,6288.46024165,6288.46630074
2020-09-28 16:41:22,Criação de ordem,BTC,-0.10322669,0E-8
2020-09-09 10:43:00,Execução de ordem,BTC,0.02485488,0.10322669
2020-09-09 10:42:22,Execução de ordem,BTC,0.00190395,0.07837181
2020-09-09 10:41:02,Execução de ordem,BTC,0.07351604,0.07646786
2020-09-09 10:38:58,Execução de ordem,BTC,0.00295182,0.00295182
2020-09-09 10:13:17,Criação de ordem,BRL,-5679.01980800,0.00605909
2020-07-27 14:04:31,Execução de ordem,BRL,5679.02267134,5679.02586709
2020-07-27 14:04:31,Criação de ordem,BTC,-0.10483421,0E-8
2020-07-22 10:18:20,Diferença de preço em ordem executada,BRL,0.00010589,0.00319575
2020-07-22 10:18:20,Execução de ordem,BTC,0.10483421,0.10483421
2020-07-22 10:18:21,Criação de ordem,BRL,-5141.31000000,0.00308986
2020-07-03 11:25:51,Execução de ordem,BRL,5141.30456446,5141.31308986
2020-07-03 11:25:52,Criação de ordem,BTC,-0.10551995,0E-8
2020-06-30 09:55:31,Diferença de preço em ordem executada,BRL,0.00038114,0.00852540
2020-06-30 09:55:31,Execução de ordem,BTC,0.10551995,0.10551995
2020-06-30 09:55:32,Criação de ordem,BRL,-5333.38000000,0.00814426
2020-06-30 09:28:29,Execução de ordem,BRL,5333.38191055,5333.38814426
2020-06-30 09:28:30,Criação de ordem,BTC,-0.10726296,0E-8
2020-06-24 11:10:55,Diferença de preço em ordem executada,BRL,0.00027551,0.00623371
2020-06-24 11:10:55,Execução de ordem,BTC,0.06673743,0.10726296
2020-06-24 11:10:56,Criação de ordem,BRL,-3336.66000000,0.00595820
2020-06-24 08:10:05,Depósito,BRL,3000.00000000,3336.66595820
2020-06-23 15:42:41,Depósito,BTC,0.01992079,0.04052553
2020-06-23 15:06:56,Execução de ordem,BRL,230.33513291,336.66595820
2020-06-23 15:06:56,Criação de ordem,LTC,-1.00360668,0E-8
2020-06-23 15:06:40,Execução de ordem,BRL,106.32290913,106.33082529
2020-06-23 15:06:40,Criação de ordem,XRP,-107.61046838,0E-8
2020-06-23 14:56:38,Depósito,BTC,0.01003581,0.02060474
2020-06-15 10:36:57,Diferença de preço em ordem executada,BRL,0.00036215,0.00791616
2020-06-15 10:36:57,Execução de ordem,BTC,0.01056375,0.01056893
2020-06-15 10:36:58,Criação de ordem,BRL,-500.00000000,0.00755401
2020-06-15 08:22:16,Depósito,BRL,500.00000000,500.00755401
